congressional_district,pwsid,pws_name,primacy_agency_code,population_served_count,service_connections_count,primary_source_code,owner_type_code,active_component_count,active_component_types,violation_count,unresolved_violation_count,health_based_violation_count,corrective_action_count,enforcement_action_count,site_inspection_count,latest_site_inspection_date,latitude,longitude
GA-12,GA1630003,STAPLETON,GA,433,191,GW,L,5,Distribution System/Zone (1); Treatment Plant (2); Well (2),20,6,1,0,49,6,2025-02-26,33.215825,-82.4691748
GA-12,GA2510055,NEWINGTON EAST SUBDIVISION,GA,68,25,GW,P,4,Distribution System/Zone (1); Treatment Plant (1); Well (2),1,0,0,0,2,6,2023-02-10,NA,NA
GA-12,GA0310222,BROOKLET SOUTH SUBDIVISION,GA,195,75,GW,P,5,Treatment Plant (2); Well (2); Distribution System/Zone (1),2,1,1,0,5,7,2025-04-17,NA,NA
GA-12,GA0310278,CHATHAM PLACE,GA,156,60,GW,P,6,Well (3); Treatment Plant (2); Distribution System/Zone (1),2,0,0,0,8,5,2025-04-16,NA,NA
GA-12,GA0310166,ELDORA FARMS SUBDIVISION,GA,324,120,GW,P,3,Well (1); Treatment Plant (1); Distribution System/Zone (1),5,0,0,0,9,6,2025-11-20,NA,NA
GA-12,GA0310188,OLNEY STATION SUBDIVISION,GA,294,109,GW,P,5,Treatment Plant (2); Well (2); Distribution System/Zone (1),32,25,0,0,18,7,2025-11-20,NA,NA
GA-12,GA0310258,GRAYSTONE APARTMENTS,GA,99,38,GW,P,4,Distribution System/Zone (1); Treatment Plant (1); Well (2),2,0,0,0,5,4,2025-04-16,NA,NA
GA-12,GA1030028,PINEORA WATER SYSTEM,GA,94,36,GW,P,5,Treatment Plant (2); Well (2); Distribution System/Zone (1),7,2,0,0,13,7,2025-01-31,NA,NA
GA-12,GA1030087,SOUTH EFFINGHAM WOODS/EFFINGHAM FOREST,GA,340,129,GW,P,5,Distribution System/Zone (1); Well (2); Treatment Plant (2),44,8,0,0,50,5,2021-06-18,NA,NA
GA-12,GA1030132,WALNUT GROVE SUBDIVISION,GA,55,21,GW,P,4,Distribution System/Zone (1); Treatment Plant (1); Well (2),12,5,0,0,23,5,2025-08-07,NA,NA
GA-12,GA1030133,STILLWOOD SUBDIVISION,GA,49,19,GW,P,3,Treatment Plant (1); Well (1); Distribution System/Zone (1),5,0,0,0,12,6,2025-01-31,NA,NA
GA-12,GA1030146,HUNTER`S CHASE / ABBY LANE,GA,211,81,GW,P,4,Distribution System/Zone (1); Treatment Plant (1); Well (2),6,2,0,0,12,4,2024-11-22,32.3634109,-81.3070872
GA-12,GA2510021,SYLVANIA MOBILE HOME PARK,GA,38,14,GW,P,3,Distribution System/Zone (1); Well (1); Treatment Plant (1),134,76,2,0,85,9,2025-07-30,NA,NA
GA-12,GA2510056,ROLLING RIDGE WATER SYSTEM,GA,27,10,GW,P,3,Distribution System/Zone (1); Well (1); Treatment Plant (1),11,3,0,0,25,7,2024-07-15,32.8844397,-81.658239
GA-12,GA0310000,BROOKLET WATER SYSTEM,GA,1456,813,GW,L,7,Distribution System/Zone (1); Well (3); Treatment Plant (3),7,1,0,0,23,5,2023-12-19,32.3796185,-81.665944
GA-12,GA0310189,PLANTATION MOBILE ESTATES,GA,104,40,GW,P,3,Distribution System/Zone (1); Well (1); Treatment Plant (1),13,7,0,0,24,8,2026-01-22,33.8492236,-84.3775525
GA-12,GA0310203,PRETORIA STATION/BROOKWOOD SUBDIVISION,GA,333,128,GW,P,5,Well (2); Treatment Plant (2); Distribution System/Zone (1),14,4,0,0,34,7,2025-07-15,NA,NA
GA-12,GA0310211,OLD INDIAN TRAIL,GA,289,107,GW,P,4,Distribution System/Zone (1); Treatment Plant (1); Well (2),11,5,1,0,15,6,2025-10-27,NA,NA
GA-12,GA0310227,CAMBRIDGE SUBDIVISION,GA,244,96,GW,P,5,Well (2); Treatment Plant (2); Distribution System/Zone (1),2,0,0,0,4,4,2020-11-03,32.4569316,-81.7835965
GA-12,GA0310246,JOHNSON RUN SUBDIVISION,GA,318,122,GW,P,4,Treatment Plant (1); Well (2); Distribution System/Zone (1),1,1,0,0,3,6,2025-02-05,NA,NA
GA-12,GA0310282,COYOTE CROSSING,GA,72,24,GW,P,4,Well (2); Treatment Plant (1); Distribution System/Zone (1),5,1,0,0,16,8,2024-04-22,40.883568,-111.8647844
GA-12,GA0310291,LUCY LANE,GA,47,18,GW,P,3,Distribution System/Zone (1); Well (1); Treatment Plant (1),1,1,0,0,2,3,2024-03-05,32.4569316,-81.7835965
GA-12,GA0330000,GIRARD,GA,254,98,GW,L,5,Distribution System/Zone (1); Well (2); Treatment Plant (2),17,12,2,0,44,6,2023-04-25,NA,NA
GA-12,GA1030000,GUYTON,GA,2394,1478,GW,L,7,Treatment Plant (3); Well (3); Distribution System/Zone (1),8,4,0,0,20,8,2024-01-17,32.3331506,-81.3934271
GA-12,GA1030002,SPRINGFIELD,GA,3100,1500,GW,L,11,Well (5); Treatment Plant (5); Distribution System/Zone (1),23,8,1,0,50,9,2023-03-16,32.3680441,-81.3108158
GA-12,GA1030080,QUAIL RUN MOBILE HOME ESTATES,GA,260,100,GW,P,3,Well (1); Treatment Plant (1); Distribution System/Zone (1),23,0,0,0,26,6,2024-05-02,NA,NA
GA-12,GA1030136,EAGLE POINTE SUBDIVISION,GA,195,75,GW,P,4,Distribution System/Zone (1); Treatment Plant (1); Well (2),33,3,0,0,41,7,2023-08-08,NA,NA
GA-12,GA1030143,SHADOWBROOK SUBDIVISION,GA,224,86,GW,P,4,Distribution System/Zone (1); Well (2); Treatment Plant (1),6,3,1,0,14,5,2025-05-13,NA,NA
GA-12,GA2510000,HILTONIA,GA,353,140,GW,L,3,Treatment Plant (1); Well (1); Distribution System/Zone (1),5,2,0,0,22,5,2024-07-15,32.8844397,-81.658239
GA-12,GA2510001,NEWINGTON,GA,428,150,GW,L,7,Distribution System/Zone (1); Well (3); Treatment Plant (3),20,3,0,0,54,9,2023-06-15,32.5890247,-81.5037902
GA-12,GA2510048,HILLCREST HEIGHTS,GA,130,48,GW,P,3,Distribution System/Zone (1); Treatment Plant (1); Well (1),15,2,0,0,35,8,2023-03-29,NA,NA
GA-12,GA2510053,BLUE HOLE MOBILE HOME PARK,GA,60,24,GW,P,3,Treatment Plant (1); Well (1); Distribution System/Zone (1),14,4,1,0,33,6,2025-04-10,NA,NA
GA-12,GA0310013,"LEEFIELD WATER ASSOC., INC.",GA,84,40,GW,P,3,Treatment Plant (1); Well (1); Distribution System/Zone (1),12,4,0,0,26,6,2024-04-22,NA,NA
GA-12,GA0310187,ENGLISH OAKS MOBILE HOME PARK,GA,226,87,GW,P,5,Treatment Plant (2); Well (2); Distribution System/Zone (1),6,1,1,0,12,8,2026-01-22,NA,NA
GA-12,GA0310200,STANFORD SUBDIVISION,GA,89,33,GW,P,5,Distribution System/Zone (1); Well (2); Treatment Plant (2),7,1,0,0,15,7,2025-10-27,NA,NA
GA-12,GA0310236,WHITE OAKS ESTATES SUBDIVISION,GA,68,25,GW,P,4,Well (2); Treatment Plant (1); Distribution System/Zone (1),2,1,0,0,4,6,2025-11-20,NA,NA
GA-12,GA0310238,LEEFIELD STATION MOBILE HOME PARK,GA,157,58,GW,P,4,Well (2); Treatment Plant (1); Distribution System/Zone (1),2,2,0,0,7,6,2025-11-20,NA,NA
GA-12,GA0310243,PEBBLESTONE SUBDIVISION,GA,125,48,GW,P,4,Distribution System/Zone (1); Well (2); Treatment Plant (1),6,1,0,0,14,6,2025-07-15,NA,NA
GA-12,GA0310245,LAKEVIEW COMMONS,GA,49,19,GW,P,3,Well (1); Treatment Plant (1); Distribution System/Zone (1),1,0,0,0,4,5,2024-11-06,NA,NA
GA-12,GA0310265,WOODLAKE SUBDIVISION,GA,88,35,GW,P,4,Distribution System/Zone (1); Well (2); Treatment Plant (1),0,0,0,0,0,4,2023-02-07,NA,NA
GA-12,GA0310173,CEDARWOOD ACRES  MOBILE HOME PARK,GA,133,51,GW,P,5,Well (2); Treatment Plant (2); Distribution System/Zone (1),11,3,0,0,22,9,2024-03-05,NA,NA
GA-12,GA1030081,TUSCULUM LIVING WATER SYSTEM,GA,79,19,GW,P,3,Treatment Plant (1); Well (1); Distribution System/Zone (1),41,23,1,0,89,6,2025-08-26,NA,NA
GA-12,GA2510002,OLIVER,GA,283,110,GW,L,3,Well (1); Treatment Plant (1); Distribution System/Zone (1),25,7,2,0,61,7,2024-07-22,NA,NA
GA-12,GA2510013,GREEN ACRES MOBILE HOME PARK,GA,44,16,GW,P,3,Distribution System/Zone (1); Treatment Plant (1); Well (1),151,138,2,0,73,6,2024-12-12,NA,NA
GA-07,GA1170008,COLONIAL CLUB ESTATES,GA,416,154,SWP,P,2,Consecutive Connection (1); Distribution System/Zone (1),16,0,0,0,51,7,2025-06-25,NA,NA
GA-07,GA1170047,LANIER WOODS SUBDIVISION,GA,182,36,SWP,P,2,Distribution System/Zone (1); Consecutive Connection (1),34,22,2,0,75,7,2025-03-10,NA,NA
GA-07,GA1390011,LAKE SHORE FOREST SUBDIVISION,GA,284,105,GW,P,6,Treatment Plant (2); Well (2); Distribution System/Zone (1); Consecutive Connection (1),60,4,0,0,58,8,2023-08-29,NA,NA
GA-07,GA1390127,MOUNT SHORES CONDO ASSOCIATION,GA,210,78,GW,P,4,Consecutive Connection (1); Distribution System/Zone (1); Treatment Plant (1); Well (1),34,16,2,0,79,7,2025-06-30,NA,NA
GA-07,GA1870086,MILL CREEK STATION,GA,205,76,GW,P,4,Distribution System/Zone (1); Well (2); Treatment Plant (1),0,0,0,0,0,7,2023-10-27,NA,NA
GA-07,GA1870079,LUMPKIN CO. - GREENWOOD PARK S/D,GA,190,73,GW,L,5,Treatment Plant (2); Well (2); Distribution System/Zone (1),4,1,0,0,6,6,2025-02-27,NA,NA
GA-07,GA1870087,LUMPKIN CO. - SETTLERS BLUFF SUBDIVISION,GA,28,24,GW,L,4,Distribution System/Zone (1); Well (2); Treatment Plant (1),0,0,0,0,0,4,2024-08-16,NA,NA
GA-07,GA1870081,LUMPKIN CO. - ROCK POINTE S/D,GA,83,70,GW,L,4,Well (2); Treatment Plant (1); Distribution System/Zone (1),1,0,0,0,2,4,2023-05-25,NA,NA
GA-07,GA1870075,LUMPKIN CO. - SHEPHERD`S COVE,GA,55,21,GW,P,5,Well (3); Treatment Plant (1); Distribution System/Zone (1),0,0,0,0,0,4,2024-08-16,NA,NA
GA-07,GA1390013,LODGE HAVEN SUBDIVISION,GA,104,40,GW,P,4,Treatment Plant (1); Well (1); Consecutive Connection (1); Distribution System/Zone (1),3,2,0,0,15,5,2023-01-19,NA,NA
GA-07,GA0850012,ATHENS BOAT CLUB,GA,325,128,GW,P,5,Distribution System/Zone (1); Consecutive Connection (1); Well (2); Treatment Plant (1),23,14,6,0,57,8,2025-06-26,NA,NA
GA-07,GA0850027,GOLDEN RIDGE,GA,42,16,GW,P,3,Treatment Plant (1); Well (1); Distribution System/Zone (1),18,6,0,0,34,6,2024-03-22,NA,NA
GA-07,GA0850029,THE VILLAGE AT PARADISE VALLEY,GA,195,75,GW,P,4,Well (2); Treatment Plant (1); Distribution System/Zone (1),19,12,0,0,52,5,2024-11-25,NA,NA
GA-07,GA1170030,SHADY SHORES SUBDIVISION,GA,1632,700,SWP,P,2,Consecutive Connection (1); Distribution System/Zone (1),7,2,2,0,27,6,2024-03-28,NA,NA
GA-07,GA1390012,LEISURE LAKE CONDO. ASSOC.INC.,GA,532,197,GW,P,5,Treatment Plant (1); Well (2); Distribution System/Zone (1); Consecutive Connection (1),18,8,0,0,39,9,2024-07-31,NA,NA
GA-07,GA1870043,LUMPKIN CO. - 400 WATER SYSTEM,GA,2379,915,SWP,L,20,Distribution System/Zone (1); Well (9); Treatment Plant (9); Consecutive Connection (1),19,13,0,0,14,5,2025-01-30,NA,NA
GA-07,GA1870092,BRYNDEMERE SUBDIVISION,GA,178,66,GW,P,5,Well (3); Treatment Plant (1); Distribution System/Zone (1),12,12,0,0,0,5,2023-11-17,NA,NA
GA-07,GA1870093,BROOKWOOD & CEDAR SPRINGS SUBDIVISIONS,GA,334,124,GW,P,6,Well (4); Treatment Plant (1); Distribution System/Zone (1),0,0,0,0,0,5,2024-02-23,NA,NA
GA-07,GA1870094,CRAWFORD FALLS SUBDIVIVISION,GA,372,138,GW,P,4,Distribution System/Zone (1); Well (2); Treatment Plant (1),0,0,0,0,0,4,2023-10-27,NA,NA
GA-07,GA1870100,MONTALUCE WATER WORKS WATER SYSTEM,GA,52,20,GW,P,11,Well (9); Treatment Plant (1); Distribution System/Zone (1),8,4,1,0,17,4,2024-01-30,NA,NA
GA-07,GA1870085,BLUERIDGE OVERLOOK SUBDIVISION,GA,332,123,GW,P,4,Distribution System/Zone (1); Treatment Plant (1); Well (2),0,0,0,0,0,6,2024-02-16,NA,NA
GA-07,GA1870091,CASTLEBERRY RIDGE SUBDIVISION,GA,248,92,GW,P,6,Distribution System/Zone (1); Treatment Plant (1); Well (4),0,0,0,0,0,5,2023-11-17,NA,NA
GA-07,GA1870099,HIGHTOWER OVERLOOK SUBDIVISION,GA,73,28,GW,P,5,Distribution System/Zone (1); Well (3); Treatment Plant (1),1,1,0,0,3,5,2024-11-22,NA,NA
GA-07,GA1870095,LUMPKIN CO. - CROOKED CREEK SUBDIVISION,GA,164,85,GW,P,5,Distribution System/Zone (1); Well (2); Treatment Plant (2),2,0,0,0,5,4,2024-12-12,NA,NA
GA-07,GA1870102,CHESTATEE VALLEY,GA,103,38,GW,P,4,Distribution System/Zone (1); Well (2); Treatment Plant (1),0,0,0,0,0,2,2023-08-18,NA,NA
GA-07,GA0570075,CHEROKEE COUNTY-SALACOA AREA,GA,465,183,SWP,L,2,Distribution System/Zone (1); Consecutive Connection (1),1,0,0,0,2,6,2024-03-06,NA,NA
GA-07,GA1870088,WALKER HILLS SUBDIVISION,GA,49,19,GW,P,3,Distribution System/Zone (1); Treatment Plant (1); Well (1),0,0,0,0,0,4,2024-02-23,NA,NA
GA-07,GA1870073,SHENANDOAH SUBDIVISION,GA,93,36,GW,P,5,Distribution System/Zone (1); Treatment Plant (2); Well (2),21,7,0,0,33,8,2025-11-21,NA,NA
GA-07,GA1870058,MOUNTAIN VIEW APARTMENTS,GA,124,46,GW,P,5,Distribution System/Zone (1); Well (3); Treatment Plant (1),27,17,0,0,39,7,2026-01-23,NA,NA
GA-07,GA1210007,MOUNTAIN PARK,GA,557,310,SWP,L,2,Consecutive Connection (1); Distribution System/Zone (1),12,1,0,0,24,7,2025-05-28,34.083534,-84.4151849
GA-07,GA0570000,BALL GROUND,GA,2470,950,GW,L,4,Consecutive Connection (1); Distribution System/Zone (1); Treatment Plant (1); Well (1),9,2,1,0,24,8,2025-04-30,NA,NA
GA-11,GA1290021,TALKING ROCK CREEK PROPERTIES,GA,650,300,SWP,P,2,Distribution System/Zone (1); Consecutive Connection (1),48,13,0,0,107,10,2023-08-29,NA,NA
GA-11,GA0150004,WHITE,GA,900,366,GW,L,8,Well (3); Treatment Plant (3); Consecutive Connection (1); Distribution System/Zone (1),15,3,0,0,41,6,2024-08-23,NA,NA
GA-11,GA0150003,KINGSTON,GA,1263,486,GW,L,6,Consecutive Connection (1); Distribution System/Zone (1); Well (2); Treatment Plant (2),51,16,1,0,60,8,2024-07-31,NA,NA
GA-11,GA1290022,FAIRMOUNT WATER SYSTEM,GA,194,72,SWP,L,2,Consecutive Connection (1); Distribution System/Zone (1),19,13,0,0,35,4,2025-05-30,NA,NA
GA-11,GA2270003,BENT TREE,GA,3185,1158,SW,P,5,Common Headers (1); Intake (2); Treatment Plant (1); Distribution System/Zone (1),8,5,0,0,21,32,2023-07-12,NA,NA
GA-11,GA1230074,CARTERS LAKE ESTATES,GA,148,57,GW,P,3,Distribution System/Zone (1); Treatment Plant (1); Well (1),56,13,5,0,118,5,2024-06-25,NA,NA
GA-11,GA0570075,CHEROKEE COUNTY-SALACOA AREA,GA,465,183,SWP,L,2,Distribution System/Zone (1); Consecutive Connection (1),1,0,0,0,2,6,2024-03-06,NA,NA
GA-11,GA0150028,CEDAR HILL MOBILE HOME PARK,GA,60,26,GW,P,4,Distribution System/Zone (1); Consecutive Connection (1); Treatment Plant (1); Well (1),18,9,0,0,51,8,2024-06-14,NA,NA
GA-11,GA1210007,MOUNTAIN PARK,GA,557,310,SWP,L,2,Consecutive Connection (1); Distribution System/Zone (1),12,1,0,0,24,7,2025-05-28,34.083534,-84.4151849
GA-11,GA0150025,EMERSON,GA,1435,1088,GW,L,4,Treatment Plant (1); Spring (1); Consecutive Connection (1); Distribution System/Zone (1),15,11,2,0,30,6,2023-08-08,34.1065195,-84.7441446
GA-11,GA0570000,BALL GROUND,GA,2470,950,GW,L,4,Consecutive Connection (1); Distribution System/Zone (1); Treatment Plant (1); Well (1),9,2,1,0,24,8,2025-04-30,NA,NA
GA-14,GA0470002,RINGGOLD,GA,2953,1432,SW,L,4,Distribution System/Zone (1); Consecutive Connection (1); Intake (1); Treatment Plant (1),17,1,11,0,55,37,2023-05-08,34.9172579,-85.1083476
GA-14,GA1290021,TALKING ROCK CREEK PROPERTIES,GA,650,300,SWP,P,2,Distribution System/Zone (1); Consecutive Connection (1),48,13,0,0,107,10,2023-08-29,NA,NA
GA-14,GA0550002,MENLO,GA,949,365,GW,L,7,Consecutive Connection (2); Spring (1); Distribution System/Zone (1); Treatment Plant (2); Well (1),12,5,1,0,38,10,2024-02-21,NA,NA
GA-14,GA2230001,HIRAM,GA,858,330,GW,L,8,Consecutive Connection (1); Distribution System/Zone (1); Well (3); Treatment Plant (3),11,4,2,0,31,5,2026-03-17,33.880171,-84.7469048
GA-14,GA2330017,POLK COUNTY-VINSON MOUNTAIN WATER SYSTM,GA,905,348,SWP,L,2,Distribution System/Zone (1); Consecutive Connection (1),5,0,0,0,15,5,2024-06-12,NA,NA
GA-14,GA2950056,WALKER COUNTY W&SA - ARMUCHEE VALLEY,GA,620,110,SWP,L,3,Consecutive Connection (2); Distribution System/Zone (1),4,0,0,0,9,3,2022-07-27,NA,NA
GA-14,GA0550049,TRION,GA,2043,757,GWP,L,2,Distribution System/Zone (1); Consecutive Connection (1),25,11,2,0,54,6,2024-08-20,34.5433715,-85.3130071
GA-14,GA1150003,BERRY COLLEGE,GA,2200,250,SW,P,4,Intake (1); Treatment Plant (1); Distribution System/Zone (1); Consecutive Connection (1),3,1,0,0,8,25,2026-02-10,NA,NA
GA-14,GA0550001,LYERLY,GA,1638,607,SWP,L,8,Well (2); Treatment Plant (2); Distribution System/Zone (1); Consecutive Connection (3),12,3,0,0,32,9,2025-01-17,NA,NA
GA-04,GA1350011,JONES MOBILE HOME PARK,GA,800,350,GW,P,7,Treatment Plant (3); Well (3); Distribution System/Zone (1),59,11,0,0,58,6,2026-03-18,NA,NA
GA-04,GA1350012,NORCROSS MOBILE HOME VILLAGE,GA,543,209,GW,P,4,Consecutive Connection (1); Distribution System/Zone (1); Treatment Plant (1); Well (1),43,24,2,0,96,5,2024-05-23,42.5161658,-83.3342929
GA-08,GA0270009,JAMAR SUBDIVISION,GA,275,102,GW,P,3,Distribution System/Zone (1); Well (1); Treatment Plant (1),6,2,0,0,13,5,2026-03-17,NA,NA
GA-08,GA0270010,FERNWOOD MOBILE HOME COMMUNITY,GA,199,74,GW,P,5,Well (2); Treatment Plant (2); Distribution System/Zone (1),3,0,0,0,11,6,2023-10-26,NA,NA
GA-08,GA0270027,BROOKSIDE PRIME PROPERTIES-FHB,GA,180,1,GW,P,3,Treatment Plant (1); Well (1); Distribution System/Zone (1),21,7,1,0,64,6,2023-04-20,NA,NA
GA-08,GA0270037,TIMBERVIEW ESTATES MHP,GA,160,59,GW,P,3,Distribution System/Zone (1); Well (1); Treatment Plant (1),18,5,0,0,49,6,2026-02-12,NA,NA
GA-08,GA0710017,SPENCETON SUBDIVISION 2,GA,216,80,GW,P,4,Distribution System/Zone (1); Well (2); Treatment Plant (1),6,5,0,0,9,5,2023-04-26,NA,NA
GA-08,GA0710021,SPENCEFIELD AIRPORT,GA,544,171,GW,L,4,Well (2); Treatment Plant (1); Distribution System/Zone (1),12,4,0,0,25,5,2021-06-17,NA,NA
GA-08,GA0710033,COUNTRY CIRCLE SUBDIVISION,GA,76,28,GW,P,3,Distribution System/Zone (1); Treatment Plant (1); Well (1),191,150,2,0,38,6,2025-05-06,NA,NA
GA-08,GA1850015,COUNTRYVIEW MOBILE HOME PARK,GA,176,65,GW,P,3,Treatment Plant (1); Well (1); Distribution System/Zone (1),269,189,4,0,176,11,2025-03-31,NA,NA
